system:index,date,mean_ndvi,urban_area_m2,vegetation_area_m2,water_area_m2,.geo
LC08_039035_20130324,2013-03-24,0.07541948163713716,4752840.285994226,1952733.1128252815,2.7596607481547993E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20130429,2013-04-29,0.07035494751080404,4493924.402140539,2387380.6430664062,2.6711967903789917E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20130531,2013-05-31,0.07858781908333527,4893355.925580192,2567589.033214614,1.0168207283634584E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20130616,2013-06-16,0.07162226693763468,5065254.188546932,2607857.9259643555,1.66583610894818E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20130718,2013-07-18,0.06854070664178184,4468450.821419749,1904147.5214233398,2.3665089870498192E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20130803,2013-08-03,0.07371131989948024,5822640.4802554855,2884118.373352051,2.0164753147558898E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20131006,2013-10-06,0.05031342548853435,7440171.930905569,2867236.433361098,2.6672429983883938E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20131022,2013-10-22,0.04948065532559977,7606517.906415871,2869031.537120864,2.683617262362144E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20131209,2013-12-09,0.04784515763990585,8334481.791137695,1987838.0729980469,3.0791477853452957E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20131225,2013-12-25,0.040833595926768294,8192933.073336253,1734074.5442504883,3.139429628088907E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140211,2014-02-11,0.08051693495002075,1266019.1806640625,1428127.9548339844,1.5579141576107249E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140315,2014-03-15,0.07059157796222,4142184.6110150507,1847469.4135742188,2.6045685234342036E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140416,2014-04-16,0.06337348661942684,5507976.107992733,2538569.623901367,2.5685357758329114E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140502,2014-05-02,0.055141059270496895,6205122.536908317,2540364.950378418,2.448013985216318E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140603,2014-06-03,0.059571172787139845,5438194.491024242,2429680.044555664,2.225619803508126E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140619,2014-06-19,0.05804617345430697,6022274.172188792,2518765.331726074,2.0970193264839324E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140721,2014-07-21,0.07071441377675006,6218284.54648222,2732035.0001220703,2.2805124264239046E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140806,2014-08-06,0.05459656558877813,7258551.920650467,2810322.3201293945,2.412613126436605E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140822,2014-08-22,0.07133952944440704,5938220.6244253125,2930010.294921875,2.4066854831637058E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20140923,2014-09-23,0.05084653886805997,7806131.663008865,2977922.0385857075,2.4453810780400628E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20141009,2014-10-09,0.056637901714188775,7096066.619516889,3043598.5218620747,2.4607861346299067E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20141110,2014-11-10,0.050194745527723066,8630590.80045214,2865415.639171645,2.6006562808236873E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20141126,2014-11-26,0.04114847970377737,9155110.46265558,2529769.511852309,2.778557221015945E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20150113,2015-01-13,0.041767126532713146,8108972.259412101,1768263.2552490234,2.966300021745356E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20150214,2015-02-14,0.05796558419034383,7201559.0351921525,1700780.6604003906,2.6406004948002523E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20150403,2015-04-03,0.0880142919082655,4556870.328683651,2423374.9982299805,2.4090807210795638E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20150419,2015-04-19,0.07620838070929178,4629736.172528435,2425179.519958496,2.4216333331395072E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
